Latitude;Longitude;Speed;Time (absolute)
-2244.327800;-4732.072600;22.205480;1543678815.614778
-2244.327300;-4732.072000;22.909240;1543678815.727555
-2244.327300;-4732.072000;22.909240;1543678815.840204
-2244.326700;-4732.071600;24.724200;1543678815.939168
-2244.326000;-4732.071300;24.872360;1543678816.027443
-2244.326000;-4732.071300;24.872360;1543678816.127674
-2244.325300;-4732.071200;24.872360;1543678816.234411
-2244.325300;-4732.071200;24.872360;1543678816.350419
-2244.324700;-4732.071700;23.964880;1543678816.447797
-2244.324700;-4732.071700;23.964880;1543678816.544003
-2244.324300;-4732.072400;23.038880;1543678816.666061
-2244.324300;-4732.072400;23.038880;1543678816.825522
-2244.323800;-4732.073000;22.557360;1543678816.872644
-2244.323800;-4732.073000;22.557360;1543678816.999235
-2244.323400;-4732.073500;22.261040;1543678817.098680
-2244.323400;-4732.073500;22.261040;1543678817.198697
-2244.322900;-4732.073900;21.260960;1543678817.322879
-2244.322900;-4732.073900;21.260960;1543678817.428419
-2244.322300;-4732.073900;18.705200;1543678817.538609
-2244.322300;-4732.073900;18.705200;1543678817.638642
-2244.321900;-4732.073800;16.705040;1543678817.742257
-2244.321900;-4732.073800;16.705040;1543678817.850608
-2244.321400;-4732.073700;16.408720;1543678817.966580
-2244.320900;-4732.073700;16.371680;1543678818.072099
-2244.320900;-4732.073700;16.371680;1543678818.186436
-2244.320500;-4732.073700;14.964160;1543678818.291878
-2244.320500;-4732.073700;14.964160;1543678818.414390
-2244.320200;-4732.073800;12.056520;1543678818.514395
-2244.320200;-4732.073800;12.056520;1543678818.631177
-2244.320000;-4732.074100;9.889680;1543678818.731206
-2244.319900;-4732.074300;9.185920;1543678818.857200
-2244.319900;-4732.074300;9.185920;1543678818.950224
-2244.319700;-4732.074500;9.204440;1543678819.058517
-2244.319700;-4732.074500;9.204440;1543678819.193044
-2244.319400;-4732.074600;9.093320;1543678819.263835
-2244.319400;-4732.074600;9.093320;1543678819.388461
-2244.319100;-4732.074700;9.537800;1543678819.476198
-2244.319100;-4732.074700;9.537800;1543678819.601972
-2244.318800;-4732.074600;9.982280;1543678819.686499
-2244.318800;-4732.074600;9.982280;1543678819.808960
-2244.318600;-4732.074600;8.889600;1543678819.916123
-2244.318600;-4732.074600;8.889600;1543678820.028782
-2244.318400;-4732.074600;6.352360;1543678820.098414
-2244.318400;-4732.074600;6.352360;1543678820.205537
-2244.318200;-4732.074600;7.556160;1543678820.305484
-2244.318200;-4732.074600;7.556160;1543678820.406751
-2244.317700;-4732.074700;11.519440;1543678820.525973
-2244.317700;-4732.074700;11.519440;1543678820.607734
-2244.317300;-4732.074600;17.371760;1543678820.733534
-2244.317300;-4732.074600;17.371760;1543678820.818691
-2244.316700;-4732.074600;21.798040;1543678820.946365
-2244.316700;-4732.074600;21.798040;1543678821.026411
-2244.316100;-4732.074900;22.594400;1543678821.135014
-2244.315400;-4732.075100;24.613080;1543678821.260115
-2244.315400;-4732.075100;24.613080;1543678821.344201
-2244.314600;-4732.075400;32.410000;1543678821.461978
